Date,SeqNum,r1,r2,r3,r4,r5,r6,b,Revenue,1st,2nd
2003-02-23,2003001,10,11,12,13,26,28,11,"10,307,806",0,0
2003-02-27,2003002,4,9,19,20,21,26,12,"7,398,870",0,0
2003-3-2,2003003,1,7,10,23,28,32,16,"8,917,960",0,0
2003-3-6,2003004,4,6,7,10,13,25,3,"9,517,794",0,0
2003-3-9,2003005,4,6,15,17,30,31,16,"10,661,438",0,0
2003-3-13,2003006,1,3,10,21,26,27,6,"10,919,658",0,0
2003-3-16,2003007,1,9,19,21,23,26,7,"12,124,030",0,0
2003-3-20,2003008,5,8,9,14,17,23,8,"11,696,278",0,0
2003-3-23,2003009,5,9,18,20,22,30,9,"12,386,072",0,0
2003-3-27,2003010,1,2,8,13,17,24,13,"12,402,130",0,0
2003-3-30,2003011,4,5,11,12,30,32,15,"12,782,494",0,0
2003-4-3,2003012,2,12,16,17,27,30,12,"12,307,262",0,0
2003-4-6,2003013,8,13,17,21,23,32,12,"12,611,880",0,0
2003-4-10,2003014,3,5,7,8,21,31,2,"12,476,130",0,0
2003-4-13,2003015,4,11,19,25,26,32,13,"13,460,134",0,0
2003-4-17,2003016,11,17,28,30,31,33,6,"13,098,324",0,0
2003-4-20,2003017,5,8,18,23,25,31,6,"14,451,270",0,0
2003-4-24,2003018,5,16,19,20,25,28,13,"14,339,392",0,0
2003-4-27,2003019,4,8,12,13,16,33,9,"15,159,580",0,0
2003-5-1,2003020,7,10,25,26,27,32,4,"14,670,860",0,0
2003-5-4,2003021,14,15,18,25,26,30,1,"13,537,342",0,0
2003-5-8,2003022,2,7,11,12,14,32,8,"13,869,188",0,0
2003-5-11,2003023,1,10,20,22,26,31,2,"15,374,822",0,0
2003-5-15,2003024,2,7,15,17,22,30,14,"15,035,104",0,0
2003-5-18,2003025,1,5,11,13,14,27,12,"16,536,260",0,0
2003-5-22,2003026,8,13,15,26,29,31,16,"16,245,314",0,0
2003-5-25,2003027,1,11,14,17,27,28,15,"17,626,250",0,0
2003-5-29,2003028,6,13,16,20,28,32,7,"17,442,014",0,0
